Entity,Year,Electricity from renewables (TWh),Electricity from fossil fuels (TWh),Value_co2_emissions_kt_by_country
Germany,2000,35.47,367.22,830280.0
Germany,2001,37.9,372.69,847680.0
Germany,2002,44.48,372.64,833380.0049
Germany,2003,46.67,390.81,836789.978
Germany,2004,57.97,385.24,821070.0073
Germany,2005,63.4,386.96,802380.0049
Germany,2006,72.51,390.03,814409.9731
Germany,2007,89.38,402.4,783799.9878
Germany,2008,94.28,390.43,789690.0024
Germany,2009,95.94,358.07,734809.9976
Germany,2010,105.18,378.9,773070.0073
Germany,2011,124.04,373.16,746479.9805
Germany,2012,143.04,377.89,760130.0049
Germany,2013,152.34,381.52,776150.0244
Germany,2014,162.54,360.28,736010.0098
Germany,2015,188.79,359.99,742309.9976
Germany,2016,189.67,368.67,747150.0244
Germany,2017,216.32,353.37,732200.0122
Germany,2018,222.07,334.65,707700.0122
Germany,2019,240.33,284.09,657400.0244
Ireland,2000,1.18,22.49,42530.0
Ireland,2001,1.03,23.61,44820.0
Ireland,2002,1.38,23.46,43930.00031
Ireland,2003,1.14,23.72,44090.00015
Ireland,2004,1.39,23.83,44689.99863
Ireland,2005,1.87,23.75,46650.00153
Ireland,2006,2.47,24.64,47259.99832
Ireland,2007,2.81,25.56,46360.00061
Ireland,2008,3.6,26.32,45779.99878
Ireland,2009,4.12,23.85,40560.00137
Ireland,2010,3.72,24.44,40189.99863
Ireland,2011,5.43,21.73,36680.00031
Ireland,2012,5.25,21.88,37130.00107
Ireland,2013,5.63,19.94,35709.99908
Ireland,2014,6.39,19.42,35529.99878
Ireland,2015,7.86,20.24,37060.00137
Ireland,2016,7.52,22.71,38819.99969
Ireland,2017,8.88,21.78,37779.99878
Ireland,2018,10.2,20.7,37659.99985
Ireland,2019,11.8,18.92,35750.0
