Building_Type,Year_Built,Floor_Area_m2,Orientation,Material,Insulation_Level,Solar_Potential_kWh_m2,Wind_Potential_m_s,Geothermal_Potential,Energy_Demand_kWh,Installation_Area_m2,Carbon_Reduction_Percent,Payback_Period_Years,Optimal_Solar_Utilization_Percent,Energy_Demand_per_m2,Solar_Energy_Capacity_kWh,Carbon_Reduction_kWh,Building_Size_Category
Stone_Villa,1844,67,East,Stone,Medium,4.962382804015867,2.2021306145657773,1.2328136996603858,8740,78,25.377517093975317,11.399095231574508,22.98301663166317,130.44776119402985,387.0658587132376,2217.9949940134425,Small
Thatched_Hut,1900,89,North,Timber,High,4.914786746322935,4.494622359012997,1.286294406594961,5358,34,26.92584375396236,8.82494708652072,7.357229322764375,60.20224719101124,167.1027493749798,1442.6867083373036,Small
Wooden_House,1911,70,North,Timber,Medium,4.709916116671707,2.5319796596718183,1.5004031263358255,8777,29,24.824728106554133,7.493479220777084,11.280054960857376,125.38571428571429,136.5875673834795,2178.866385912256,Small
Stone_Villa,1919,192,North,Brick,Low,7.401493108585683,4.169214908149007,0.900716104805974,10906,60,31.956197591881605,5.050909653858065,16.58562570325407,56.802083333333336,444.089586515141,3485.1429093706074,Medium
Stone_Villa,1939,274,West,Brick,Low,4.1804616692371255,4.3180129643845,1.8659974930758327,15563,46,21.51373767720542,5.42638558810069,10.145989428920908,56.7992700729927,192.30123678490776,3348.1829947034794,Large
Thatched_Hut,1745,148,East,Brick,Low,7.092952255812941,4.144698602273941,1.1535080991834357,6721,79,38.34901190920228,8.001873107081735,18.38487745708748,45.41216216216216,560.3432282092224,2577.4370904174853,Medium
Wooden_House,1734,75,East,Thatch,High,6.607213328559552,3.7369329396624353,0.6936292927136927,6349,92,24.45410327616824,7.795283024740572,23.114995149563924,84.65333333333334,607.8636262274788,1552.5910170039215,Small
Wooden_House,1952,57,South,Thatch,High,3.805919821997252,2.0438269913266485,1.6134481351009164,8696,71,27.136417288443926,6.292997366989182,14.712696493937298,152.56140350877192,270.2203073618049,2359.782847403084,Small
Stone_Villa,1781,149,East,Brick,Medium,7.446916406003394,3.081126477089512,1.4646565289267754,8896,47,34.76592470040248,7.768360196221598,12.049887148281686,59.70469798657718,350.00507108215953,3092.7766613478043,Medium
Brick_Cottage,1955,289,East,Thatch,Medium,4.585463854156043,3.814518288087744,0.9736151037260556,9260,84,18.257083177933676,6.222550458187577,24.57924920407205,32.04152249134948,385.1789637491076,1690.6059022766583,Large
Stone_Villa,1896,271,North,Stone,Low,3.894331708089649,3.1623538877676163,1.4322780860510729,14788,36,12.256060862884071,10.941538769430885,11.201938354904664,54.56826568265683,140.19594149122736,1812.4262804032965,Large
Stone_Villa,1709,136,South,Stone,High,6.817256936503037,4.590439684738439,0.8297929345534654,14819,63,31.23351935087448,7.087364145129191,20.197275776856884,108.96323529411765,429.48718699969135,4628.495232606089,Medium
Stone_Villa,1985,91,East,Thatch,Medium,6.3267021347108,2.9264068260488463,1.1672590390107942,11941,29,24.49035566645136,9.18995045110817,12.515002802606451,131.21978021978023,183.47436190661318,2924.393370130957,Small
Stone_Villa,1941,221,West,Thatch,High,5.968875223511603,2.880604377375981,1.849118783250988,15694,82,36.89512752876985,8.519901433993608,26.059198815021496,71.01357466063348,489.4477683279514,5790.32131436514,Large
Thatched_Hut,1950,63,East,Stone,High,4.123923454795733,2.797993079277974,0.7003013497411241,18464,66,39.48040146167303,5.363174543157945,18.870133852465614,293.07936507936506,272.1789480165184,7289.661325883309,Small
Wooden_House,1704,127,North,Timber,Low,5.413984465023848,2.998342606882386,1.080044674981193,8808,57,21.973280517241875,11.595636036438163,11.187631850977086,69.35433070866142,308.59711450635933,1935.4065479586643,Medium
Thatched_Hut,1818,51,West,Stone,Low,6.622224107548855,3.6722148929425615,1.7317136370805208,10246,89,22.463170487789824,8.690581847753384,25.24140914053513,200.90196078431373,589.3779455718482,2301.5764481789456,Small
Thatched_Hut,1988,168,North,Stone,High,4.7144957525753615,4.121045882817772,1.9542363491092671,13384,95,22.238878066171797,7.275403503742707,24.55336227669721,79.66666666666667,447.8770964946593,2976.4514403764333,Medium
Thatched_Hut,1764,86,East,Thatch,High,4.746759314060165,3.9877037532163553,1.180889204632694,15866,72,19.736623291927785,6.106885987431478,16.668747912078295,184.48837209302326,341.7666706123319,3131.4126514972622,Small
Stone_Villa,1845,118,West,Stone,High,3.5125636241924885,4.423153459944439,1.2604994302150212,8845,97,33.45061293299192,7.369686443087851,22.76310080252433,74.95762711864407,340.7186715466714,2958.706713923136,Medium
Brick_Cottage,1923,215,South,Thatch,High,4.196973606581518,4.657741986492274,1.3582579426756545,7577,63,32.76987287472183,5.143581221163727,16.059281831318888,35.24186046511628,264.4093372146356,2482.973267717673,Large
Wooden_House,1938,286,South,Thatch,Low,7.001622500487337,4.448237127030054,1.8985222124505663,5091,93,24.359346116515745,7.544907087438084,27.32718604669767,17.8006993006993,651.1508925453223,1240.1343107918167,Large
Brick_Cottage,1876,90,West,Brick,Medium,5.266985966550829,2.0568362101230635,1.7873101864655447,9234,73,11.339836491366963,8.720401491131534,15.058712449168745,102.6,384.4899755582105,1047.1205016128254,Small
Thatched_Hut,1966,111,West,Stone,Low,7.436937996937736,4.207753860655966,0.7559016869324665,13672,39,19.2867790453922,11.103063720956612,15.861376945378492,123.17117117117117,290.0405818805717,2636.8884310860217,Medium
Thatched_Hut,1981,295,North,Timber,Medium,5.08283185429517,2.625198720854995,1.1551367267706123,11592,98,18.769091396645123,9.811620923884584,26.15871859457468,39.29491525423729,498.1175217209267,2175.713074699103,Large
Brick_Cottage,1762,109,West,Brick,High,6.3607458191209645,2.398784128123948,1.1960006422946394,18644,50,34.332617386007755,5.78107619193269,16.762630832256455,171.045871559633,318.0372909560482,6400.973185447286,Medium
Brick_Cottage,1916,174,North,Thatch,Medium,4.6276761716189165,3.9154663543974064,1.683644167473135,16108,26,12.627267202485244,6.034224271065728,8.367937682845584,92.57471264367815,120.31958046209184,2034.0002009763234,Medium
Brick_Cottage,1982,160,East,Thatch,Low,4.955238564563734,2.959229586223085,1.404339323908153,17627,77,34.17026137128113,7.996863574728623,18.396165505163967,110.16875,381.5533694714075,6023.191971915725,Medium
Thatched_Hut,1876,63,North,Timber,Low,4.262903950363579,2.1713514901113298,1.4813306930435195,13128,29,30.07550956597429,6.369954261471515,4.848395969591416,208.38095238095238,123.62421456054378,3948.3128958211046,Small
Thatched_Hut,1797,297,West,Thatch,High,4.88824947399758,2.412889203195084,1.9972998614984263,6075,29,31.97324377391348,5.194948443079291,6.678691288151812,20.454545454545453,141.75923474592983,1942.3745592652438,Large
Wooden_House,1804,280,West,Stone,Low,5.688950081682572,2.0027882506098837,0.6124400652050196,7513,58,22.966395627550703,10.635104160826492,17.156407004926546,26.832142857142856,329.9591047375892,1725.4653034978844,Large
Wooden_House,1798,266,East,Brick,High,7.467091523916998,4.709670882034121,0.8345147353005995,13168,47,30.391773880052742,5.136657994885959,14.860792816868234,49.50375939849624,350.9533016240989,4001.988784525345,Large
Thatched_Hut,1705,133,West,Thatch,Low,6.156806852287143,2.0738539515237155,1.1118439060573202,11861,49,28.270868341207475,10.814827236386098,10.040906154866782,89.18045112781955,301.68353576207,3353.2076939506182,Medium
Brick_Cottage,1896,179,West,Thatch,Low,4.296983817633256,2.6283673085285333,1.0216736045733308,13990,56,33.069405856858886,6.0087277412307625,13.093295487575077,78.15642458100558,240.63109378746236,4626.409879374558,Medium
Brick_Cottage,1832,280,South,Timber,High,3.679845766366205,3.248788342063722,0.5324683420204754,17762,86,23.403095034047563,11.822748875649811,23.494051609927894,63.43571428571428,316.4667359074936,4156.857739947528,Large
Wooden_House,1958,119,South,Stone,Medium,4.005425925258042,3.0697139778524574,0.6376664097067637,19736,62,24.184768746889077,9.22711738278333,13.647094713863911,165.84873949579833,248.33640736599864,4773.105959886028,Medium
Thatched_Hut,1722,194,East,Thatch,Low,5.750220805092189,4.735177630738328,1.5214299371053643,18750,98,29.307286682194604,10.144880801409268,27.45368236267524,96.64948453608247,563.5216388990345,5495.116252911488,Medium
Wooden_House,1752,172,North,Timber,Medium,6.560641315267065,2.1208668372036263,1.818986695043841,17141,71,13.242324809991649,5.773385395776455,15.696234382413174,99.65697674418605,465.80553338396163,2269.8668956806687,Medium
Wooden_House,1864,138,South,Thatch,Low,7.261676829202988,3.536644123031155,1.2713405168989664,5604,75,23.08733345092952,11.03472851416036,19.164827000533982,40.608695652173914,544.6257621902241,1293.8141665900903,Medium
Stone_Villa,1901,298,North,Timber,Low,3.5632926879872837,4.0414383875731215,1.3087866192704496,7979,95,39.15852535779417,10.87434640010077,17.727400433374886,26.7751677852349,338.512805358792,3124.4587382983964,Large
Stone_Villa,1782,77,West,Timber,Low,5.591040566247479,4.795093921043506,0.8826401492485692,12140,87,11.126569601801368,9.570949120792024,19.61273852288124,157.66233766233765,486.4205292635306,1350.765549658686,Small
Stone_Villa,1844,115,South,Stone,Low,5.383469424892708,3.861113756371163,1.651814545450567,12065,28,19.48014168599181,8.515924052167712,9.905984176718295,104.91304347826087,150.73714389699583,2350.279094414912,Medium
Brick_Cottage,1784,212,East,Thatch,Medium,6.124220087902816,4.411265708035288,1.6276918810508845,9916,42,19.42329457268112,10.050424211921708,8.73740565220696,46.77358490566038,257.21724369191827,1926.0138898270598,Large
